date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:18	93383/93383	---MCZ	200	added ('OK')	text/html	etag:W/%229b526592b59bf91bbdd4d13f5985d30c%22	https://stmatts.org/rciaforteens	stmatts.org/rciaforteens.html	(from https://stmatts.org/)
22:48:19	93783/93783	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:18%20GMT	https://stmatts.org/rcia	stmatts.org/rcia.html	(from https://stmatts.org/)
22:48:20	93532/93532	---MCZ	200	added ('OK')	text/html	etag:W/%22a302d3c34498cabe33cd1c4039ed7d50%22	https://stmatts.org/rcia-en-espanol	stmatts.org/rcia-en-espanol.html	(from https://stmatts.org/)
22:48:21	112767/112767	---MCZ	200	added ('OK')	text/html	etag:W/%22a4b5de766bf827ef86893db6023d1056%22	https://stmatts.org/adult-formation-videos	stmatts.org/adult-formation-videos.html	(from https://stmatts.org/)
22:48:22	101302/101302	---MCZ	200	added ('OK')	text/html	etag:W/%22d1d8943a08a2b3def9bb3e6a90bb9f8a%22	https://stmatts.org/adult-ministries	stmatts.org/adult-ministries.html	(from https://stmatts.org/)
22:48:23	98697/98697	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:22%20GMT	https://stmatts.org/acts	stmatts.org/acts.html	(from https://stmatts.org/)
22:48:24	93861/93861	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:23%20GMT	https://stmatts.org/covenantoflove	stmatts.org/covenantoflove.html	(from https://stmatts.org/)
22:48:25	93358/93358	---MCZ	200	added ('OK')	text/html	etag:W/%22626ad01c2976d8089aded1f5c8eabb42%22	https://stmatts.org/family-retreats	stmatts.org/family-retreats.html	(from https://stmatts.org/)
22:48:26	97714/97714	---MCZ	200	added ('OK')	text/html	etag:W/%2212800f0af6c0ec289b0103fe1e7be9b6%22	https://stmatts.org/counselingcenter	stmatts.org/counselingcenter.html	(from https://stmatts.org/)
22:48:27	93059/93059	---MCZ	200	added ('OK')	text/html	etag:W/%22a601ae92037667ba61201631859d787f%22	https://stmatts.org/mental-health-ministry-1	stmatts.org/mental-health-ministry-1.html	(from https://stmatts.org/)
